layer,metric,mean_abs_correction,max_abs_correction,mean_relative_correction,max_relative_correction
learned_controlled,surface_mean_vol,1.072695704441469,1.158674785736277,0.5519047745583484,0.5803086083533388
learned_controlled,quote_price,0.3455367424250018,0.5216383447054351,0.04376674036343973,0.06411680480812691
learned_controlled,quote_vol,0.0832139455372632,0.125724215211934,0.04331967376955107,0.0633658120474848
learned_controlled,shock_score,0.02606863996910706,0.03972651491635126,0.04240159829212258,0.06377830967773586
mixed_controlled,surface_mean_vol,1.072695704441469,1.158674785736277,0.5519047745583484,0.5803086083533388
mixed_controlled,quote_price,0.3455367424250018,0.5216383447054351,0.04376674036343973,0.06411680480812691
mixed_controlled,quote_vol,0.0832139455372632,0.125724215211934,0.04331967376955107,0.0633658120474848
mixed_controlled,shock_score,0.02606863996910706,0.03972651491635126,0.04240159829212258,0.06377830967773586
rule_controlled,surface_mean_vol,1.0747632259867839,1.1624867160002947,0.552949344639724,0.5822177686922742
rule_controlled,quote_price,0.3455367424250018,0.5216383447054351,0.04376674036343973,0.06411680480812691
rule_controlled,quote_vol,0.0832139455372632,0.125724215211934,0.04331967376955107,0.0633658120474848
rule_controlled,shock_score,0.02699806123896009,0.04049709185844008,0.04389182064212757,0.06501542033157866
