layer,regime,metric,raw_value,controlled_value,abs_correction,relative_correction
rule_controlled,STABLE,quote_vol,1.996329665184021,1.870605449972087,0.125724215211934,0.06297768219576338
rule_controlled,STABLE,quote_price,8.208538248435405,7.6868999037299695,0.5216383447054351,0.06354826266477621
rule_controlled,STABLE,surface_mean_vol,1.9966527620951335,0.8341660460948388,1.1624867160002947,0.5822177686922742
rule_controlled,STABLE,shock_score,0.6228844119118957,0.5823873200534556,0.04049709185844008,0.06501542033157866
rule_controlled,TRANSITION,quote_vol,1.8420056104660034,1.9587257917692047,0.11672018130320128,0.0633658120474848
rule_controlled,TRANSITION,quote_price,7.567706313337613,8.05292346187511,0.4852171485374974,0.06411680480812691
rule_controlled,TRANSITION,surface_mean_vol,1.8369434277216594,0.8734618778794219,0.9634815498422376,0.5245025705757488
rule_controlled,TRANSITION,shock_score,0.5931518055507476,0.6123873200534556,0.019235514502707995,0.03242932807874979
rule_controlled,STRESS,quote_vol,1.9907028675079346,1.997900307604589,0.007197440096654351,0.003615527065405035
rule_controlled,STRESS,quote_price,8.18527555191,8.215030285942072,0.02975473403207296,0.003635153617416071
rule_controlled,STRESS,surface_mean_vol,1.9892525275548298,0.8909311154370103,1.0983214121178195,0.5521276946511491
rule_controlled,STRESS,shock_score,0.6211257426977234,0.6423873200534556,0.021261577355732197,0.03423071351605426
learned_controlled,STABLE,quote_vol,1.996329665184021,1.870133394514159,0.12619627066986205,0.06321414387148794
learned_controlled,STABLE,quote_price,8.208538248435405,7.684934114344644,0.5236041340907605,0.06378774371801976
learned_controlled,STABLE,surface_mean_vol,1.9966527620951335,0.8379779763588567,1.158674785736277,0.5803086083533388
learned_controlled,STABLE,shock_score,0.6228844119118957,0.5831578969955444,0.03972651491635126,0.06377830967773586
learned_controlled,TRANSITION,quote_vol,1.8420056104660034,1.953535211711321,0.11152960124531752,0.06054791614728143
learned_controlled,TRANSITION,quote_price,7.567706313337613,8.031415872626921,0.4637095592893079,0.06127478262099688
learned_controlled,TRANSITION,surface_mean_vol,1.8369434277216594,0.8740082800831476,0.9629351476385118,0.5242051187351097
learned_controlled,TRANSITION,shock_score,0.5931518055507476,0.6125832796096802,0.01943147405893253,0.032759698069013216
learned_controlled,STRESS,quote_vol,1.9907028675079346,2.0037365287821673,0.013033661274232777,0.006547266037019875
learned_controlled,STRESS,quote_price,8.18527555191,8.239148069705182,0.05387251779518287,0.00658163765575515
learned_controlled,STRESS,surface_mean_vol,1.9892525275548298,0.8927753476052122,1.0964771799496176,0.5512005965865967
learned_controlled,STRESS,shock_score,0.6211257426977234,0.6401736736297607,0.019047930932037382,0.030666787129618674
