regime,metric,raw_value,controlled_value,abs_correction,relative_correction
STABLE,quote_vol,0.44977274537086487,0.44977274537086487,0.0,0.0
STABLE,quote_price,1.6005028832587893,1.6005028832587893,0.0,0.0
STABLE,surface_mean_vol,0.49866395195325214,0.5835960308710734,0.08493207891782123,0.17031926728440017
STABLE,shock_score,0.6228844119118957,0.6228844119118957,0.0,0.0
TRANSITION,quote_vol,0.6354411244392395,0.6354411244392395,0.0,0.0
TRANSITION,quote_price,2.405884566732272,2.405884566732272,0.0,0.0
TRANSITION,surface_mean_vol,0.5279877384503683,0.6110880290968712,0.08310029064650293,0.15739056912647317
TRANSITION,shock_score,0.5931518055507476,0.6528844119118957,0.05973260636114808,0.10070374194627248
STRESS,quote_vol,0.3825668394565582,0.6481499469280243,0.2655831074714661,0.6942136120546432
STRESS,quote_price,1.3102122121492563,2.4610715143611976,1.1508593022119413,0.8783762596168185
STRESS,surface_mean_vol,0.43064484000205994,0.878379742304484,0.4477349023024241,1.039684818469629
STRESS,shock_score,0.6211257426977234,0.6828844119118958,0.06175866921417239,0.09943021995182033
