layer,regime,metric,raw_value,controlled_value,abs_correction,relative_correction
rule_controlled,STABLE,quote_vol,1.996329665184021,1.996329665184021,0.0,0.0
rule_controlled,STABLE,quote_price,8.208538248435405,8.208538248435405,0.0,0.0
rule_controlled,STABLE,surface_mean_vol,1.9966527620951335,0.9198588132858276,1.076793948809306,0.5392995563632212
rule_controlled,STABLE,shock_score,0.6228844119118957,0.6228844119118957,0.0,0.0
rule_controlled,TRANSITION,quote_vol,1.8420056104660034,2.0903726139193446,0.24836700345334117,0.13483509607253996
rule_controlled,TRANSITION,quote_price,7.567706313337613,8.596142092869458,1.0284357795318453,0.13589795070658212
rule_controlled,TRANSITION,surface_mean_vol,1.8369434277216594,0.9740943511327108,0.8628490765889486,0.4697200052911432
rule_controlled,TRANSITION,shock_score,0.5931518055507476,0.6528844119118957,0.05973260636114808,0.10070374194627248
rule_controlled,STRESS,quote_vol,1.9907028675079346,2.1321800661977317,0.14147719868979713,0.07106896815138748
rule_controlled,STRESS,quote_price,8.18527555191,8.767714659790036,0.5824391078800364,0.07115693346989727
rule_controlled,STRESS,surface_mean_vol,1.9892525275548298,0.9935762381553651,0.9956762893994647,0.5005278493341117
rule_controlled,STRESS,shock_score,0.6211257426977234,0.6828844119118958,0.06175866921417239,0.09943021995182033
learned_controlled,STABLE,quote_vol,1.996329665184021,1.973802924156189,0.02252674102783203,0.011284078687352234
learned_controlled,STABLE,quote_price,8.208538248435405,8.115358955173225,0.09317929326218,0.011351508690349408
learned_controlled,STABLE,surface_mean_vol,1.9966527620951335,4.197372992833455,2.2007202307383213,1.102204786188789
learned_controlled,STABLE,shock_score,0.6228844119118957,0.621620237827301,0.0012641740845946714,0.0020295484369473728
learned_controlled,TRANSITION,quote_vol,1.8420056104660034,2.0685577392578125,0.22655212879180908,0.12299209486907825
learned_controlled,TRANSITION,quote_price,7.567706313337613,8.506433969701737,0.938727656364124,0.12404388033791358
learned_controlled,TRANSITION,surface_mean_vol,1.8369434277216594,6.380651791890462,4.543708364168802,2.4735156758770267
learned_controlled,TRANSITION,shock_score,0.5931518055507476,0.6488918662071228,0.05574006065637516,0.0939726729898764
learned_controlled,STRESS,quote_vol,1.9907028675079346,2.1245217323303223,0.1338188648223877,0.06722191794996965
learned_controlled,STRESS,quote_price,8.18527555191,8.73632049616827,0.5510449442582708,0.06732148976092647
learned_controlled,STRESS,surface_mean_vol,1.9892525275548298,6.380651791890462,4.391399264335632,2.2075624906876445
learned_controlled,STRESS,shock_score,0.6211257426977234,0.6846991181373596,0.06357337543963626,0.10235186061282738
